Items, Size, Frequency, Support, Score
Multigrain Tortilla Chips, 1, 7620, 0.0017533642388707967, 1.0
Pineapple, 1, 7614, 0.0017519836371079063, 1.0
Thin & Light Tortilla Chips, 1, 7603, 0.0017494525338759405, 1.0
Organic Beef Broth, 1, 7601, 0.0017489923332883104, 1.0
Plain Whole Milk Yogurt, 1, 7591, 0.0017466913303501596, 1.0
Organic YoKids Very Berry Smoothies, 1, 7588, 0.0017460010294687144, 1.0
Organic Rainbow Chard Vegetable, 1, 7577, 0.0017434699262367489, 1.0
Organic Smoked Turkey Breast, 1, 7562, 0.0017400184218295228, 1.0
100% Lactose Free Fat Free Milk, 1, 7556, 0.0017386378200666323, 1.0
Organic Green Lentils, 1, 7554, 0.0017381776194790022, 1.0
Shredded Sharp Cheddar Cheese, 1, 7550, 0.0017372572183037421, 1.0
100% Recycled Bathroom Tissue, 1, 7546, 0.0017363368171284818, 1.0
Broccoli & Cheddar Bake Meal Bowl, 1, 7543, 0.0017356465162470366, 1.0
Organic YoKids Smoothie Strawberry Banana Lowfat Yogurt, 1, 7535, 0.001733805713896516, 1.0
Philadelphia Original Cream Cheese, 1, 7535, 0.001733805713896516, 1.0
Super Soft Taco Flour Tortillas, 1, 7534, 0.001733575613602701, 1.0
Low Fat Vanilla Yogurt, 1, 7531, 0.0017328853127212558, 1.0
Organic Creamy Tomato Soup, 1, 7514, 0.0017289736077263998, 1.0
Mixed Berries Whole Milk Icelandic Style Skyr Yogurt, 1, 7507, 0.0017273629056696943, 1.0
Cucumber & Garlic  Tzatziki, 1, 7498, 0.0017252920030253586, 1.0
Plantain Chips, 1, 7474, 0.0017197695959737971, 1.0
Organic Baby Bella Mushrooms, 1, 7457, 0.001715857890978941, 1.0
California Sourdough Bread, 1, 7445, 0.0017130966874531603, 1.0
Seven Grain Crispy Tenders, 1, 7423, 0.0017080344809892287, 1.0
Kidz All Natural Baked Chicken Nuggets, 1, 7420, 0.0017073441801077837, 1.0
Organic Cut Green Beans, 1, 7417, 0.0017066538792263385, 1.0
Fat Free Blueberry Yogurt, 1, 7413, 0.0017057334780510782, 1.0
Lactose Free 2% Reduced Fat Milk, 1, 7402, 0.0017032023748191124, 1.0
Curate Melon Pomelo Sparking Water, 1, 7369, 0.0016956090651232152, 1.0
Sweet Onions, 1, 7368, 0.0016953789648294002, 1.0
Organic Kale Greens, 1, 7343, 0.0016896264574840236, 1.0
Gluten Free SpongeBob Spinach Littles, 1, 7342, 0.0016893963571902085, 1.0
Florida Orange Juice With Calcium & Vitamin D, 1, 7332, 0.0016870953542520578, 1.0
Cheese Pizza, 1, 7315, 0.0016831836492572018, 1.0
Organic Mini Sandwich Crackers Peanut Butter, 1, 7314, 0.0016829535489633867, 1.0
Arancita Rossa, 1, 7311, 0.0016822632480819415, 1.0
Cream Cheese, 1, 7305, 0.001680882646319051, 1.0
Organic Crushed Fire Roasted Tomatoes, 1, 7303, 0.001680422445731421, 1.0
100% Natural Spring Water, 1, 7292, 0.0016778913424994552, 1.0
Organic Dark Sweet Cherries, 1, 7278, 0.0016746699383860444, 1.0
Organic & Raw Strawberry Serenity Kombucha, 1, 7270, 0.0016728291360355238, 1.0
Shredded Hash Browns, 1, 7261, 0.0016707582333911882, 1.0
White Sliced Mushrooms, 1, 7260, 0.001670528133097373, 1.0
Gourmet Tomato Medley, 1, 7240, 0.0016659261272210719, 1.0
Crackers Harvest Whole Wheat, 1, 7239, 0.0016656960269272568, 1.0
Roasted Salted Cashews, 1, 7227, 0.001662934823401476, 1.0
Enlightened Organic Raw Kombucha, 1, 7220, 0.0016613241213447707, 1.0
Flaky Biscuits, 1, 7220, 0.0016613241213447707, 1.0
Organic Whole Wheat Fusilli, 1, 7205, 0.0016578726169375446, 1.0
Classic White Bread, 1, 7204, 0.0016576425166437295, 1.0
Saltine Crackers, 1, 7196, 0.001655801714293209, 1.0
New Orleans Iced Coffee, 1, 7192, 0.0016548813131179486, 1.0
Sweet Baguette, 1, 7186, 0.0016535007113550584, 1.0
Applewood Smoked Bacon, 1, 7181, 0.001652350209885983, 1.0
Gluten Free Blueberry Waffles, 1, 7181, 0.001652350209885983, 1.0
Cola Soft Drink, 1, 7178, 0.0016516599090045379, 1.0
Large Grade AA Eggs, 1, 7158, 0.0016470579031282364, 1.0
Organic Greek Nonfat Yogurt With Mixed Berries, 1, 7154, 0.0016461375019529761, 1.0
Organic Apple Slices, 1, 7126, 0.0016396946937261543, 1.0
Popcorn, 1, 7102, 0.0016341722866745928, 1.0
Unsalted Cultured Butter, 1, 7086, 0.001630490681973552, 1.0
Hot Dog Buns, 1, 7085, 0.0016302605816797368, 1.0
Organic Wheat Square Crackers, 1, 7084, 0.0016300304813859218, 1.0
Ranch Dressing, 1, 7081, 0.0016293401805044766, 1.0
90% Lean Ground Beef, 1, 7076, 0.0016281896790354012, 1.0
Organic Green Beans, 1, 7076, 0.0016281896790354012, 1.0
Diet Coke, 1, 7068, 0.0016263488766848806, 1.0
Cherry Pomegranate Greek Yogurt, 1, 7064, 0.0016254284755096203, 1.0
Celery, 1, 7062, 0.0016249682749219902, 1.0
Organic Greek Plain Nonfat Yogurt, 1, 7062, 0.0016249682749219902, 1.0
Broccoli & Apple Stage 2 Baby Food, 1, 7054, 0.0016231274725714696, 1.0
Garnet Sweet Potato (Yam), 1, 7043, 0.001620596369339504, 1.0
Liquid Egg Whites, 1, 7041, 0.001620136168751874, 1.0
Grilled Chicken Breast Strips, 1, 7037, 0.0016192157675766136, 1.0
Margherita Pizza, 1, 7036, 0.0016189856672827985, 1.0
Fusilli No. 34, 1, 7022, 0.0016157642631693875, 1.0
Organic Whole Crimini Mushrooms, 1, 7003, 0.0016113923575869014, 1.0
YoKids Squeeze! Organic Strawberry Flavor Yogurt, 1, 6995, 0.0016095515552363808, 1.0
Mache Rosettes French Salad Mix, 1, 6982, 0.0016065602514167851, 1.0
Sea Salt Caramel Gelato, 1, 6973, 0.0016044893487724495, 1.0
Select-A-Size White Paper Towels, 1, 6968, 0.001603338847303374, 1.0
YoKids Strawberry Banana/Strawberry Yogurt, 1, 6966, 0.001602878646715744, 1.0
Gluten Free Peanut Butter Dark Chocolate Chewy With a Crunch Granola Bars, 1, 6930, 0.0015945950361384016, 1.0
Boneless Skinless Chicken Breast Fillets, 1, 6919, 0.001592063932906436, 1.0
White Corn Tortillas, 1, 6912, 0.0015904532308497305, 1.0
Organic Jasmine Rice, 1, 6909, 0.0015897629299682853, 1.0
Mini Babybel Light Semisoft Edam Cheeses, 1, 6897, 0.0015870017264425045, 1.0
Grilled Chicken Breast, 1, 6875, 0.001581939519978573, 1.0
Gluten Free White Sandwich Bread, 1, 6859, 0.001578257915277532, 1.0
Artichokes, 1, 6851, 0.0015764171129270116, 1.0
Organic Raw Multigreen Kobmbucha, 1, 6837, 0.0015731957088136006, 1.0
Strawberry Rhubarb Yogurt, 1, 6837, 0.0015731957088136006, 1.0
Monterey Jack Cheese, 1, 6832, 0.0015720452073445252, 1.0
Poblano Pepper, 1, 6823, 0.0015699743047001896, 1.0
Mozzarella Cheese, 1, 6820, 0.0015692840038187446, 1.0
Wheat Gluten Free Waffles, 1, 6816, 0.0015683636026434843, 1.0
Grade AA Large White Eggs, 1, 6799, 0.001564451897648628, 1.0
Whole Wheat English Muffins, 1, 6795, 0.0015635314964733678, 1.0
Organic Cane Sugar, 1, 6794, 0.0015633013961795527, 1.0
Special Reserve Extra Sharp Cheddar Cheese, 1, 6794, 0.0015633013961795527, 1.0
Jalapeno Potato Chips, 1, 6782, 0.001560540192653772, 1.0
Peanut Butter Cereal, 1, 6779, 0.0015598498917723269, 1.0
Yellow Straightneck Squash, 1, 6779, 0.0015598498917723269, 1.0
White Sandwich Bread, 1, 6773, 0.0015584692900094364, 1.0
Ultra Soft Facial Tissues, 1, 6762, 0.0015559381867774706, 1.0
Frozen Organic Blueberries, 1, 6761, 0.0015557080864836556, 1.0
Ancient Grain Original Granola, 1, 6760, 0.0015554779861898405, 1.0
Beef Franks, 1, 6758, 0.0015550177856022104, 1.0
Organic Chicken Noodle Soup, 1, 6757, 0.0015547876853083953, 1.0
Soft Pretzel Burger Buns, 1, 6756, 0.0015545575850145802, 1.0
Organic Berry Blend, 1, 6754, 0.00155409738442695, 1.0
Organic Chocolate Chip Chewy Granola Bars, 1, 6744, 0.0015517963814887996, 1.0
Grade A Large Brown Eggs, 1, 6735, 0.001549725478844464, 1.0
Lemon Verbena Dish Soap, 1, 6721, 0.001546504074731053, 1.0
Organic Whole White Mushrooms, 1, 6715, 0.0015451234729681627, 1.0
Salt & Pepper Krinkle Chips, 1, 6709, 0.0015437428712052723, 1.0
Cauliflower, 1, 6705, 0.001542822470030012, 1.0
Organic Marinara Pasta Sauce, 1, 6702, 0.0015421321691485668, 1.0
Classic Almond Butter, 1, 6699, 0.0015414418682671216, 1.0
Organic Low Sodium Chicken Cooking Stock, 1, 6699, 0.0015414418682671216, 1.0
Original Beef Jerky, 1, 6697, 0.0015409816676794914, 1.0
Unsweetened Almond Milk, 1, 6697, 0.0015409816676794914, 1.0
Energy Drink, 1, 6695, 0.0015405214670918613, 1.0
Cage Free Grade A Large Brown Eggs, 1, 6674, 0.001535689360921745, 1.0
Sweet Potato Yam, 1, 6669, 0.0015345388594526696, 1.0
Ice Cream Sandwiches Vanilla, 1, 6642, 0.001528326151519663, 1.0
Organic Rolled Oats, 1, 6639, 0.0015276358506382177, 1.0
Angel Hair Pasta, 1, 6633, 0.0015262552488753273, 1.0
Cinnamon Raisin Bread, 1, 6630, 0.001525564947993882, 1.0
Organic Tahini, 1, 6620, 0.0015232639450557315, 1.0
Apple Sauce, 1, 6606, 0.0015200425409423205, 1.0
Organic Shells And White Cheddar, 1, 6596, 0.0015177415380041698, 1.0
Blueberry on the Bottom Nonfat Greek Yogurt, 1, 6594, 0.0015172813374165397, 1.0
Dried Sweetened Cranberries, 1, 6590, 0.0015163609362412794, 1.0
Organic Greek Lowfat Yogurt With Strawberries, 1, 6574, 0.0015126793315402385, 1.0
Bread, Country Buttermilk, 1, 6571, 0.0015119890306587933, 1.0
Peanut Butter Creamy With Salt, 1, 6571, 0.0015119890306587933, 1.0
Organic Yokids Lemonade/Blueberry Variety Pack Yogurt Squeezers Tubes, 1, 6570, 0.0015117589303649782, 1.0
Garlic Powder, 1, 6569, 0.0015115288300711631, 1.0
Original Restaurant Style Tortilla Chips, 1, 6568, 0.001511298729777348, 1.0
Coconut Yoghurt, 1, 6562, 0.0015099181280144576, 1.0
Sparkling Clementine Juice, 1, 6559, 0.0015092278271330124, 1.0
Blue Cheese Crumbles, 1, 6558, 0.0015089977268391973, 1.0
Organic Sprouted English Muffin, 1, 6547, 0.0015064666236072318, 1.0
Organic Spaghetti Pasta, 1, 6544, 0.0015057763227257865, 1.0
Canned Aranciata Orange, 1, 6542, 0.0015053161221381564, 1.0
Free & Clear Unscented Baby Wipes, 1, 6540, 0.0015048559215505262, 1.0
Sour Cream & Onion Potato Chips, 1, 6528, 0.0015020947180247454, 1.0
Organic Whole Milk Strawberry Beet Berry Yogurt Pouch, 1, 6526, 0.0015016345174371152, 1.0
Whole White Mushrooms, 1, 6516, 0.0014993335144989647, 1.0
Organic Strawana Probugs Kefir, 1, 6511, 0.0014981830130298894, 1.0
Salted Sweet Cream Butter, 1, 6509, 0.0014977228124422592, 1.0
Half And Half Cream, 1, 6504, 0.0014965723109731839, 1.0
Garlic Couscous, 1, 6494, 0.0014942713080350332, 1.0
Hazelnut Spread With Skim Milk & Cocoa, 1, 6485, 0.0014922004053906977, 1.0
Pomegranate, 1, 6482, 0.0014915101045092525, 1.0
Peeled Garlic, 1, 6480, 0.0014910499039216224, 1.0
Freshly Squeezed Orange Juice, 1, 6458, 0.0014859876974576908, 1.0
Premium Unsweetened Iced Tea, 1, 6458, 0.0014859876974576908, 1.0
Americone Dream® Ice Cream, 1, 6447, 0.0014834565942257252, 1.0
Mild Diced Green Chiles, 1, 6446, 0.0014832264939319102, 1.0
Tomatoes, Whole Peeled, 1, 6437, 0.0014811555912875745, 1.0
Whole Grain Oat Cereal, 1, 6433, 0.0014802351901123142, 1.0
Bok Choy, 1, 6424, 0.0014781642874679786, 1.0
Medium Salsa Roja, 1, 6416, 0.0014763234851174582, 1.0
Strawberry Ice Cream, 1, 6409, 0.0014747127830607527, 1.0
Diet Ginger Ale All Natural Soda, 1, 6402, 0.0014731020810040472, 1.0
Goo Berry Pie Probugs Kefir, 1, 6401, 0.0014728719807102322, 1.0
Macaroni & Cheese Dinner Original Flavor, 1, 6397, 0.0014719515795349719, 1.0
Peach, 1, 6383, 0.001468730175421561, 1.0
Organic String Cheese, 1, 6382, 0.001468500075127746, 1.0
Original Instant Oatmeal, 1, 6361, 0.0014636679689576295, 1.0
Vanilla Blueberry Clusters With Flax Seeds Granola, 1, 6361, 0.0014636679689576295, 1.0
Cabernet Sauvignon, 1, 6352, 0.001461597066313294, 1.0
Chardonnay, 1, 6346, 0.0014602164645504036, 1.0
Low Fat Strawberry Yogurt Tubes, 1, 6346, 0.0014602164645504036, 1.0
Four Cheese Thin Crust Pizza, 1, 6345, 0.0014599863642565886, 1.0
Large Burrito Flour Tortillas, 1, 6333, 0.0014572251607308077, 1.0
Bean & Cheese Burrito, 1, 6330, 0.0014565348598493625, 1.0
Fresh Cut Golden Sweet Whole Kernel Corn, 1, 6323, 0.001454924157792657, 1.0
Tortillas, Corn, Organic, 1, 6305, 0.001450782352503986, 1.0
Synergy Organic & Raw Cosmic Cranberry, 1, 6301, 0.0014498619513287256, 1.0
Cold Brew Coffee Double Espresso with Almond Milk, 1, 6300, 0.0014496318510349106, 1.0
Cream Top Smooth & Creamy Vanilla Yogurt, 1, 6288, 0.0014468706475091297, 1.0
Roasted Garlic Hummus, 1, 6288, 0.0014468706475091297, 1.0
Mineral Water, 1, 6280, 0.0014450298451586093, 1.0
Organic Yellow Mustard, 1, 6280, 0.0014450298451586093, 1.0
White Giant Paper Towel Rolls, 1, 6257, 0.0014397375384008627, 1.0
Tuna Salad, 1, 6252, 0.0014385870369317876, 1.0
Organic Nonfat Greek Yogurt With Peaches, 1, 6251, 0.0014383569366379725, 1.0
Sourdough Baguette, 1, 6243, 0.001436516134287452, 1.0
Frozen Organic Strawberries, 1, 6237, 0.0014351355325245615, 1.0
Yotoddler Organic Pear Spinach Mango Yogurt, 1, 6237, 0.0014351355325245615, 1.0
Butterhead Lettuce, 1, 6229, 0.001433294730174041, 1.0
Organic Broccoli Crown, 1, 6226, 0.0014326044292925957, 1.0
Half Baked® Ice Cream, 1, 6222, 0.0014316840281173354, 1.0
Soft Pretzel Mini Buns, 1, 6210, 0.0014289228245915548, 1.0
Goat Cheese Log, 1, 6204, 0.0014275422228286643, 1.0
Lavender Hand Soap, 1, 6199, 0.001426391721359589, 1.0
Major Dickason's Blend Ground Coffee Dark Roast, 1, 6186, 0.0014234004175399933, 1.0
Naked Green Machine Boosted Juice Smoothie, 1, 6173, 0.0014204091137203973, 1.0
Total 0% Blueberry Acai Greek Yogurt, 1, 6164, 0.0014183382110760617, 1.0
Honey Wheat Bread, 1, 6161, 0.0014176479101946165, 1.0
Fresh Asparagus, 1, 6148, 0.0014146566063750208, 1.0
Tart Cherry Yoghurt, 1, 6138, 0.00141235560343687, 1.0
Hummus, Hope, Original Recipe, 1, 6136, 0.00141189540284924, 1.0
Russet Potatoes, 1, 6136, 0.00141189540284924, 1.0
Classic Hummus Family Size, 1, 6134, 0.0014114352022616098, 1.0
Low Fat Plain Yogurt, 1, 6134, 0.0014114352022616098, 1.0
Broccoli Florets, 1, 6104, 0.0014045321934471578, 1.0
Organic Stoneground Wheat Crackers, 1, 6102, 0.0014040719928595277, 1.0
Four Cheese Pasta Sauce, 1, 6093, 0.001402001090215192, 1.0
Ezekiel 4:9 Sprouted Grain Tortillas, 1, 6090, 0.0014013107893337468, 1.0
100% Grated Parmesan Cheese, 1, 6080, 0.0013990097863955963, 1.0
Coke Zero, 1, 6072, 0.0013971689840450757, 1.0
Beer, 1, 6068, 0.0013962485828698155, 1.0
Avocado Roll, 1, 6067, 0.0013960184825760004, 1.0
Organic Vanilla Bean Ice Cream, 1, 6067, 0.0013960184825760004, 1.0
Organic Genoa Salami, 1, 6057, 0.0013937174796378497, 1.0
Boneless And Skinless Chicken Breast, 1, 6056, 0.0013934873793440346, 1.0
Mild Italian Chicken Sausage, 1, 6018, 0.0013847435681790623, 1.0
Lacinato Kale Og, 1, 5985, 0.0013771502584831652, 1.0
Bosc Pear, 1, 5982, 0.00137645995760172, 1.0
Organic Super Fruit Punch Juice Drink, 1, 5976, 0.0013750793558388295, 1.0
Sparkling Natural Spring Water, 1, 5974, 0.0013746191552511994, 1.0
Cage Free  100% Liquid Egg Whites, 1, 5957, 0.0013707074502563431, 1.0
Organic Air Chilled Whole Chicken, 1, 5950, 0.0013690967481996379, 1.0
Classic Soda, 1, 5948, 0.0013686365476120077, 1.0
Organic Fuji Apples, 1, 5947, 0.0013684064473181926, 1.0
Blueberry Muffin Bar, 1, 5943, 0.0013674860461429324, 1.0
Red Grapefruit, 1, 5939, 0.001366565644967672, 1.0
Black Beans No Salt Added, 1, 5936, 0.0013658753440862269, 1.0
Baby Portabella Mushrooms, 1, 5924, 0.001363114140560446, 1.0
Ground Buffalo, 1, 5922, 0.0013626539399728159, 1.0
Cold-Brew Black Coffee, 1, 5914, 0.0013608131376222955, 1.0
Almond Milk Strawberry Yogurt, 1, 5906, 0.001358972335271775, 1.0
Fig Newmans Fruit Filled Cookies, 1, 5904, 0.0013585121346841448, 1.0
Sweet Potato Fries with Sea Salt, 1, 5903, 0.0013582820343903297, 1.0
Kids Sensible Foods Broccoli Littles, 1, 5894, 0.001356211131745994, 1.0
Vitamin Water Zero Squeezed Lemonade, 1, 5892, 0.001355750931158364, 1.0
Chicken & Apple Breakfast Sausage, 1, 5883, 0.0013536800285140285, 1.0
Mint Chip, 1, 5871, 0.0013509188249882476, 1.0
Baby Spinach Salad, 1, 5853, 0.0013467770196995766, 1.0
Chicken Pot Pie, 1, 5843, 0.0013444760167614258, 1.0
Iced Oatmeal Cookie Kid Z Bar, 1, 5840, 0.0013437857158799806, 1.0
Good Seed Organic Thin Sliced Bread, 1, 5833, 0.0013421750138232751, 1.0
Apple Cinnamon Instant Oatmeal, 1, 5815, 0.001338033208534604, 1.0
Original Puffins Cereal, 1, 5814, 0.001337803108240789, 1.0
Flax Plus Organic Pumpkin Flax Granola, 1, 5812, 0.0013373429076531588, 1.0
Frosted Mini-Wheats Original Cereal, 1, 5807, 0.0013361924061840835, 1.0
Light Sour Cream, 1, 5807, 0.0013361924061840835, 1.0
Organic Apple Juice Boxes, 1, 5803, 0.0013352720050088232, 1.0
All Natural Virgin Lemonade, 1, 5799, 0.001334351603833563, 1.0
Organic Peeled & Cooked Beets, 1, 5788, 0.0013318205006015971, 1.0
Ataulfo Mango, 1, 5769, 0.001327448595019111, 1.0
Large Pineapple Chunks, 1, 5748, 0.0013226164888489947, 1.0
Drinking Water, 1, 5745, 0.0013219261879675495, 1.0
Chicken Broth, 1, 5743, 0.0013214659873799193, 1.0
Organic Mixed Berry Yogurt & Fruit Snack, 1, 5743, 0.0013214659873799193, 1.0
Stringless Sugar Snap Peas, 1, 5743, 0.0013214659873799193, 1.0
French Vanilla Coconut Milk Creamer, 1, 5742, 0.0013212358870861043, 1.0
Organic Fresh Squeezed Orange Juice, 1, 5742, 0.0013212358870861043, 1.0
Cherry Pie Fruit & Nut Bar, 1, 5733, 0.0013191649844417686, 1.0
All Natural Apricot Sparkling Water, 1, 5729, 0.0013182445832665083, 1.0
Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food, 1, 5727, 0.0013177843826788782, 1.0
Sliced Baby Bella Mushrooms, 1, 5722, 0.0013166338812098028, 1.0
Cultured Low Fat Buttermilk, 1, 5720, 0.0013161736806221727, 1.0
Original Multigrain Spoonfuls Cereal, 1, 5720, 0.0013161736806221727, 1.0
100% Apple Juice, 1, 5717, 0.0013154833797407277, 1.0
Caramel Cookie Crunch Gelato, 1, 5717, 0.0013154833797407277, 1.0
Organic Whole Wheat Penne Rigate, 1, 5706, 0.001312952276508762, 1.0
Organic Whole Peeled Tomatoes, 1, 5702, 0.0013120318753335016, 1.0
Mandarins Bag, 1, 5697, 0.0013108813738644262, 1.0
Oregano, 1, 5696, 0.0013106512735706112, 1.0
Organic 85% Cacao Dark Chocolate Bar, 1, 5693, 0.001309960972689166, 1.0
Organic Russet Potato Bag, 1, 5691, 0.0013095007721015358, 1.0
Honey & Maple Turkey Breast, 1, 5687, 0.0013085803709262755, 1.0
Organic Coconut Water, 1, 5687, 0.0013085803709262755, 1.0
Almondmilk Creamer, Vanilla, 1, 5686, 0.0013083502706324607, 1.0
Gogo Squeez Organic Apple Strawberry Applesauce on the Go, 1, 5680, 0.0013069696688695702, 1.0
Organic Cherries, 1, 5677, 0.001306279367988125, 1.0
Original Enriched Rice Drink, 1, 5674, 0.0013055890671066798, 1.0
Vodka, 1, 5666, 0.0013037482647561592, 1.0
Barbecue Potato Chips, 1, 5654, 0.0013009870612303784, 1.0
Organic Orange Fruit Juice, 1, 5643, 0.0012984559579984128, 1.0
Extra Ginger Brew Jamaican Style Ginger Beer, 1, 5640, 0.0012977656571169676, 1.0
Vanilla Almond Milk Yogurt, 1, 5639, 0.0012975355568231525, 1.0
Plain Non-Fat Greek Yogurt, 1, 5629, 0.0012952345538850018, 1.0
Gallon Freezer Bags, 1, 5617, 0.0012924733503592212, 1.0
6 OZ LA PANZANELLA CROSTINI ORIGINAL CRACKERS, 1, 5615, 0.001292013149771591, 1.0
Crushed Tomatoes With Basil, 1, 5608, 0.0012904024477148855, 1.0
Plain Bagelettes, 1, 5604, 0.0012894820465396252, 1.0
Organic California Style Sprouted Bread, 1, 5603, 0.0012892519462458102, 1.0
Organic Ezekiel 4:9 Sesame Bread, 1, 5602, 0.001289021845951995, 1.0
Shoestring Fries, 1, 5602, 0.001289021845951995, 1.0
Multigrain Pita Chips, 1, 5595, 0.0012874111438952896, 1.0
Organic Seasoned Yukon Select Potatoes Hashed Browns, 1, 5588, 0.001285800441838584, 1.0
Vitamin D Milk, 1, 5588, 0.001285800441838584, 1.0
100% Pure Apple Juice, 1, 5581, 0.0012841897397818788, 1.0
Gluten-Free Chicken Nuggets, 1, 5577, 0.0012832693386066185, 1.0
Sweet Cream Salted Butter, 1, 5563, 0.0012800479344932075, 1.0
Pad Thai, 1, 5561, 0.0012795877339055774, 1.0
Raspberry Lemonade, 1, 5551, 0.0012772867309674269, 1.0
All Purpose Flour, 1, 5547, 0.0012763663297921666, 1.0
Peanut Butter Bar, 1, 5544, 0.0012756760289107214, 1.0
Organic Homestyle Mini Waffles, 1, 5540, 0.001274755627735461, 1.0
Pure Water, 1, 5535, 0.0012736051262663857, 1.0
Sweet Corn On The Cob, 1, 5531, 0.0012726847250911254, 1.0
Sprouted Multi-Grain Bread, 1, 5526, 0.00127153422362205, 1.0
Citrus Mandarins Organic, 1, 5525, 0.001271304123328235, 1.0
Bananas, 1, 5500, 0.0012655516159828584, 1.0
Fruit Punch Sports Drink, 1, 5494, 0.001264171014219968, 1.0
Frozen Peaches, 1, 5492, 0.0012637108136323379, 1.0
Mexican Finely Shredded Cheese, 1, 5490, 0.0012632506130447077, 1.0
Dairy Free Mozarella Style Shreds, 1, 5482, 0.0012614098106941874, 1.0
Steel Cut Oats, 1, 5473, 0.0012593389080498517, 1.0
Mini Seedless Watermelon Pack, 1, 5464, 0.001257268005405516, 1.0
Birthday Cake Light Ice Cream, 1, 5462, 0.001256807804817886, 1.0
Organic Black Plum, 1, 5462, 0.001256807804817886, 1.0
Organic Vanilla Soymilk, 1, 5458, 0.0012558874036426256, 1.0
Organic Raspberry Lowfat Yogurt, 1, 5456, 0.0012554272030549955, 1.0
Parsley, 1, 5449, 0.0012538165009982902, 1.0
Golden Pineapple, 1, 5444, 0.0012526659995292148, 1.0
Organic Sage, 1, 5442, 0.0012522057989415847, 1.0
Natural Chicken & Maple Breakfast Sausage Patty, 1, 5428, 0.0012489843948281737, 1.0
Kumato Tomatoes, 1, 5424, 0.0012480639936529134, 1.0
Organic Honey Nut O's Cereal, 1, 5414, 0.001245762990714763, 1.0
Classic Yellow Mustard, 1, 5411, 0.0012450726898333177, 1.0
Coconut Almond Unsweetened Creamer Blend, 1, 5407, 0.0012441522886580574, 1.0
Dark with 70% Cacao Content Organic Chocolate Bar, 1, 5398, 0.0012420813860137218, 1.0
Golden Delicious Apple, 1, 5393, 0.0012409308845446464, 1.0
Organic Orzo, 1, 5392, 0.0012407007842508313, 1.0
Turkey Bacon, 1, 5390, 0.0012402405836632012, 1.0
Gluten Free Old Fashioned Rolled Oats, 1, 5387, 0.001239550282781756, 1.0
Crunchy Peanut Butter, 1, 5383, 0.001238629881606496, 1.0
Lemon Lime Soda, 1, 5380, 0.0012379395807250507, 1.0
Hardwood SmokedCenter Cut Original Bacon, 1, 5372, 0.0012360987783745301, 1.0
Thyme, 1, 5370, 0.0012356385777869, 1.0
Original Fresh Stack Crackers, 1, 5366, 0.0012347181766116397, 1.0
Prosciutto, 1, 5366, 0.0012347181766116397, 1.0
Blue Chips Corn Tortilla Chips, 1, 5365, 0.0012344880763178246, 1.0
Unbleached All-Purpose Flour, 1, 5361, 0.0012335676751425643, 1.0
Semi-Sweet Chocolate Premium Baking Chips, 1, 5355, 0.001232187073379674, 1.0
Goat Milk, 1, 5353, 0.0012317268727920438, 1.0
GOLEAN Crunch! Cereal, 1, 5339, 0.001228505468678633, 1.0
Tahitian Vanilla Bean Gelato, 1, 5335, 0.0012275850675033727, 1.0
Original Coconut Milk Creamer, 1, 5332, 0.0012268947666219275, 1.0
Low Sodium Bacon, 1, 5331, 0.0012266646663281124, 1.0
Spinach Pizza, 1, 5330, 0.0012264345660342973, 1.0
Classic Mix Variety, 1, 5325, 0.001225284064565222, 1.0
Smartwater Electrolyte Enhanced Water, 1, 5322, 0.0012245937636837768, 1.0
Half And Half, 1, 5312, 0.0012222927607456263, 1.0
Philadelphia Cream Cheese Spread, 1, 5310, 0.0012218325601579961, 1.0
Total Plain Greek Strained Yogurt, 1, 5309, 0.001221602459864181, 1.0
Gluten Free Pretzel Sticks, 1, 5307, 0.001221142259276551, 1.0
Heirloom Tomato, 1, 5305, 0.0012206820586889208, 1.0
French Roast Ground Coffee, 1, 5302, 0.0012199917578074755, 1.0
Organic Reduced Fat Omega-3 Milk, 1, 5299, 0.0012193014569260303, 1.0
California Cauliflower, 1, 5290, 0.0012172305542816947, 1.0
Small Macintosh Apple, 1, 5287, 0.0012165402534002495, 1.0
Peach,  Apricot & Banana Stage 2 Baby Food, 1, 5279, 0.001214699451049729, 1.0
Milk Chocolate Almonds, 1, 5278, 0.001214469350755914, 1.0
Minced Garlic, 1, 5277, 0.001214239250462099, 1.0
Green Cabbage, 1, 5273, 0.0012133188492868387, 1.0
Premium Original Saltine Crackers, 1, 5270, 0.0012126285484053935, 1.0
Medium Scarlet Raspberries, 1, 5267, 0.0012119382475239482, 1.0
Organic Soft Wheat Bread, 1, 5258, 0.0012098673448796126, 1.0
Dijon Mustard, 1, 5249, 0.0012077964422352772, 1.0
Classic Potato Chips, 1, 5237, 0.0012050352387094963, 1.0
Pink Lady Apples, 1, 5234, 0.001204344937828051, 1.0
Mild Salsa Roja, 1, 5230, 0.0012034245366527908, 1.0
Classic Chicken Salad, 1, 5229, 0.0012031944363589757, 1.0
Sliced Prosciutto, 1, 5228, 0.0012029643360651607, 1.0
Hint of Lime Flavored Tortilla Chips, 1, 5224, 0.0012020439348899004, 1.0
Milk and Cookies Ice Cream, 1, 5223, 0.0012018138345960853, 1.0
